sample,env1,env2,sequence,description,run,location,lat,lon,total_reads,mapped_reads,OTU_number,otu_diversity,otu_mapped,otu_abun,lat_lon1
1001.SKB1,Free-living,Non-saline,16S rRNA,Burmese bulk,ERP016540,GAZ:United States of America,33.194,-117.241,V4,soil metagenome,cropland biome,30,Soil (non-saline),0,33.194###-117.241
1001.SKB2,Free-living,Non-saline,16S rRNA,Burmese bulk,ERP016540,GAZ:United States of America,33.194,-117.241,V4,soil metagenome,cropland biome,31,Soil (non-saline),0,33.194###-117.241
1001.SKB3,Free-living,Non-saline,16S rRNA,Burmese bulk,ERP016540,GAZ:United States of America,33.194,-117.241,V4,soil metagenome,cropland biome,26,Soil (non-saline),0,33.194###-117.241
1001.SKB4,Free-living,Non-saline,16S rRNA,Burmese Rhizo,ERP016540,GAZ:United States of America,33.194,-117.241,V4,rhizosphere metagenome,cropland biome,36,Soil (non-saline),0,33.194###-117.241
1001.SKB6,Free-living,Non-saline,16S rRNA,Burmese Rhizo,ERP016540,GAZ:United States of America,33.194,-117.241,V4,rhizosphere metagenome,cropland biome,34,Soil (non-saline),0,33.194###-117.241
1001.SKB7,Host-associated,Plant,16S rRNA,Burmese root,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,19,Plant rhizosphere,0,33.194###-117.241
1001.SKB8,Host-associated,Plant,16S rRNA,Burmese root,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,17,Plant rhizosphere,0,33.194###-117.241
1001.SKB9,Host-associated,Plant,16S rRNA,Burmese root,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,16,Plant rhizosphere,0,33.194###-117.241
1001.SKD2,Free-living,Non-saline,16S rRNA,Diesel bulk,ERP016540,GAZ:United States of America,33.194,-117.241,V4,soil metagenome,cropland biome,30,Soil (non-saline),0,33.194###-117.241
1001.SKD3,Free-living,Non-saline,16S rRNA,Diesel bulk,ERP016540,GAZ:United States of America,33.194,-117.241,V4,soil metagenome,cropland biome,27,Soil (non-saline),0,33.194###-117.241
1001.SKD6,Free-living,Non-saline,16S rRNA,Diesel Rhizo,ERP016540,GAZ:United States of America,33.194,-117.241,V4,rhizosphere metagenome,cropland biome,35,Soil (non-saline),0,33.194###-117.241
1001.SKD7,Host-associated,Plant,16S rRNA,Diesel Root,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,15,Plant rhizosphere,0,33.194###-117.241
1001.SKD8,Host-associated,Plant,16S rRNA,Diesel Root,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,20,Plant rhizosphere,0,33.194###-117.241
1001.SKM3,Free-living,Non-saline,16S rRNA,Bucu bulk,ERP016540,GAZ:United States of America,33.194,-117.241,V4,soil metagenome,cropland biome,35,Soil (non-saline),0,33.194###-117.241
1001.SKM5,Free-living,Non-saline,16S rRNA,Bucu Rhizo,ERP016540,GAZ:United States of America,33.194,-117.241,V4,rhizosphere metagenome,cropland biome,30,Soil (non-saline),0,33.194###-117.241
1001.SKM7,Host-associated,Plant,16S rRNA,Bucu Roots,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,22,Plant rhizosphere,0,33.194###-117.241
1001.SKM9,Host-associated,Plant,16S rRNA,Bucu Roots,ERP016540,GAZ:United States of America,33.194,-117.241,V4,root metagenome,cropland biome,19,Plant rhizosphere,0,33.194###-117.241
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00,Host-associated,Plant,16S rRNA,Rhizosphere,ERP006348,GAZ:United States of America,41.06278,-75.45015,V4,rhizosphere metagenome,cropland biome,22,Plant rhizosphere,0,41.06278###-75.45015
1030.TVF.2004.Loc1.D0.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Organic layer Location01 Replicate04,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,4,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc1.D10.Rep5,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Mineral layer Location01 Replicate05,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc2.D0.Rep1,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Organic layer Location02 Replicate01,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,5,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc3.D0.Rep1,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Organic layer Location03 Replicate01,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,10,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc3.D0.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Organic layer Location03 Replicate03,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,4,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc3.D10.Rep2,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Mineral layer Location03 Replicate02,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc4.D10.Rep1,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Mineral layer Location04 Replicate01,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,5,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc5.D0.Rep2,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Organic layer Location05 Replicate02,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,7,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc5.D0.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Organic layer Location05 Replicate03,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,5,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc5.D10.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Mineral layer Location05 Replicate03,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,4,Soil (non-saline),0,64.35###-145.64
1030.TVF.2004.Loc5.D10.Rep5,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2004 Mineral layer Location05 Replicate05,ERP016543,GAZ:United States of America,64.35,-145.64,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.35###-145.64
1030.TVF.2010.Loc2.D0.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Organic layer Location02 Replicate03,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.33###-145.69
1030.TVF.2010.Loc2.D10.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Mineral layer Location02 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,7,Soil (non-saline),0,64.33###-145.69
1030.TVF.2010.Loc3.D0.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Organic layer Location03 Replicate03,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,11,Soil (non-saline),0,64.33###-145.69
1030.TVF.2010.Loc4.D0.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Organic layer Location04 Replicate03,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,12,Soil (non-saline),0,64.33###-145.69
1030.TVF.2010.Loc4.D0.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Organic layer Location04 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,12,Soil (non-saline),0,64.33###-145.69
1030.TVF.2010.Loc5.D0.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Organic layer Location05 Replicate03,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,13,Soil (non-saline),0,64.33###-145.69
1030.TVF.2010.Loc5.D10.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Mineral layer Location05 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.69,V4,soil metagenome,forest biome,8,Soil (non-saline),0,64.33###-145.69
1030.TVF.Control.Loc1.D10.Rep1,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location01 Replicate01,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc2.D0.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Organic layer Location02 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,5,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc2.D10.Rep2,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location02 Replicate02,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc2.D10.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location02 Replicate03,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,9,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc2.D10.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location02 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,7,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc2.D10.Rep5,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location02 Replicate05,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc3.D0.Rep4,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Organic layer Location03 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,5,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc4.D0.Rep1,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Organic layer Location04 Replicate01,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,11,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc4.D10.Rep3,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location04 Replicate03,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,8,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc4.D10.Rep5,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Mineral layer Location04 Replicate05,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,4,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc5.D0.Rep1,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Control Organic layer Location05 Replicate01,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,6,Soil (non-saline),0,64.33###-145.8
1030.TVF.Control.Loc5.D10.Rep2,Free-living,Non-saline,16S rRNA,Tanana Valley Forest Fire year 2010 Mineral layer Location05 Replicate04,ERP016543,GAZ:United States of America,64.33,-145.8,V4,soil metagenome,forest biome,4,Soil (non-saline),0,64.33###-145.8
1031.CHDF1,Free-living,Non-saline,16S rRNA,"Cascade Head, Douglas-fir, blk 1",ERP016746,GAZ:United States of America,45.05,-123.9,V4,soil metagenome,coniferous forest biome,8,Soil (non-saline),0,45.05###-123.9
1031.CHDF2,Free-living,Non-saline,16S rRNA,"Cascade Head, Douglas-fir, blk 2",ERP016746,GAZ:United States of America,45.04,-123.89,V4,soil metagenome,coniferous forest biome,7,Soil (non-saline),0,45.04###-123.89
1031.CHDF3,Free-living,Non-saline,16S rRNA,"Cascade Head, Douglas-fir, blk 3",ERP016746,GAZ:United States of America,45.04,-123.89,V4,soil metagenome,coniferous forest biome,5,Soil (non-saline),0,45.04###-123.89
1031.CHRA2,Free-living,Non-saline,16S rRNA,"Cascade Head, red alder, blk 2",ERP016746,GAZ:United States of America,45.05,-123.89,V4,soil metagenome,coniferous forest biome,4,Soil (non-saline),0,45.05###-123.89
1031.CHRA3,Free-living,Non-saline,16S rRNA,"Cascade Head, red alder, blk 3",ERP016746,GAZ:United States of America,45.04,-123.89,V4,soil metagenome,coniferous forest biome,5,Soil (non-saline),0,45.04###-123.89
1031.HJDF.1,Free-living,Non-saline,16S rRNA,"HJ Andrews, Douglas-fir, blk 1",ERP016746,GAZ:United States of America,44.23,-122.19,V4,soil metagenome,coniferous forest biome,6,Soil (non-saline),0,44.23###-122.19
1031.HJDF2,Free-living,Non-saline,16S rRNA,"HJ Andrews, Douglas-fir, blk 2",ERP016746,GAZ:United States of America,44.23,-122.19,V4,soil metagenome,coniferous forest biome,9,Soil (non-saline),0,44.23###-122.19
1031.HJDF3,Free-living,Non-saline,16S rRNA,"HJ Andrews, Douglas-fir, blk 3",ERP016746,GAZ:United States of America,44.23,-122.16,V4,soil metagenome,coniferous forest biome,5,Soil (non-saline),0,44.23###-122.16
1031.HJRA.1,Free-living,Non-saline,16S rRNA,"HJ Andrews, red alder, blk 1",ERP016746,GAZ:United States of America,44.23,-122.19,V4,soil metagenome,coniferous forest biome,12,Soil (non-saline),0,44.23###-122.19
1031.HJRA2,Free-living,Non-saline,16S rRNA,"HJ Andrews, red alder, blk 2",ERP016746,GAZ:United States of America,44.23,-122.19,V4,soil metagenome,coniferous forest biome,8,Soil (non-saline),0,44.23###-122.19
1031.HJRA3,Free-living,Non-saline,16S rRNA,"HJ Andrews, red alder, blk 3",ERP016746,GAZ:United States of America,44.23,-122.16,V4,soil metagenome,coniferous forest biome,5,Soil (non-saline),0,44.23###-122.16
1033.Antarctic.soil.10A.2.1,Free-living,Non-saline,16S rRNA,Surface soil collected near from Brazilian Antarctic Station Comandante Ferraz,ERP016586,GAZ:Antarctica,-62.05,-58.24,V4,soil metagenome,polar desert biome,8,Soil (non-saline),0,-62.05###-58.24
1033.Antarctic.soil.3B.7.2,Free-living,Non-saline,16S rRNA,Contaminated soil collected near from Brazilian Antarctic Station Comandante Ferraz,ERP016586,GAZ:Antarctica,-62.05,-58.24,V4,hydrocarbon metagenome,polar desert biome,4,Soil (non-saline),0,-62.05###-58.24
1033.Antarctic.soil.4C.6.4,Free-living,Non-saline,16S rRNA,Contaminated soil collected near from Brazilian Antarctic Station Comandante Ferraz,ERP016586,GAZ:Antarctica,-62.05,-58.24,V4,hydrocarbon metagenome,polar desert biome,5,Soil (non-saline),0,-62.05###-58.24
1033.Antarctic.soil.5C.1.7,Free-living,Non-saline,16S rRNA,Contaminated soil collected near from Brazilian Antarctic Station Comandante Ferraz,ERP016586,GAZ:Antarctica,-62.05,-58.24,V4,hydrocarbon metagenome,polar desert biome,6,Soil (non-saline),0,-62.05###-58.24
1033.Antarctic.soil.9A.2.0,Free-living,Non-saline,16S rRNA,Surface soil collected near from Brazilian Antarctic Station Comandante Ferraz,ERP016586,GAZ:Antarctica,-62.05,-58.24,V4,soil metagenome,polar desert biome,6,Soil (non-saline),0,-62.05###-58.24
1034.CHA10,Free-living,Non-saline,16S rRNA,"soil metagenome,Cg",ERP016735,GAZ:Russia,69.438,161.71,V4,soil metagenome,tundra biome,13,Soil (non-saline),0,69.438###161.71
