y,x,lat_lon1
33.194,-117.241,33.194###-117.241
41.06278,-75.45015,41.06278###-75.45015
64.35,-145.64,64.35###-145.64
64.33,-145.69,64.33###-145.69
64.33,-145.8,64.33###-145.8
45.05,-123.9,45.05###-123.9
45.04,-123.89,45.04###-123.89
45.05,-123.89,45.05###-123.89
44.23,-122.19,44.23###-122.19
44.23,-122.16,44.23###-122.16
-62.05,-58.24,-62.05###-58.24
69.438,161.71,69.438###161.71
69.435,161.714,69.435###161.714
69.434,161.716,69.434###161.716
69.446,161.752,69.446###161.752
69.44242,161.7559,69.44242###161.7559
69.442,161.756,69.442###161.756
68.74776,161.59458,68.74776###161.59458
68.74792,161.60118,68.74792###161.60118
74.48202,-20.53167,74.48202###-20.53167
74.48197,-20.53207,74.48197###-20.53207
74.48039,-20.55733,74.48039###-20.55733
74.48,-20.557,74.48###-20.557
74.46262,-20.54638,74.46262###-20.54638
74.46254,-20.54588,74.46254###-20.54588
-78.014,164.031,-78.014###164.031
-78.023,164.094,-78.023###164.094
-78.152,163.816,-78.152###163.816
-78.139,163.774,-78.139###163.774
-78.151,163.768,-78.151###163.768
-78.141,163.73,-78.141###163.73
-78.122,163.671,-78.122###163.671
-78.031,163.717,-78.031###163.717
-78.047,164.011,-78.047###164.011
-78.058,163.822,-78.058###163.822
-78.056,163.733,-78.056###163.733
-78.061,164.053,-78.061###164.053
-78.066,163.766,-78.066###163.766
-78.07,163.765,-78.07###163.765
-78.068,164.01,-78.068###164.01
-78.074,163.786,-78.074###163.786
-78.092,164.3,-78.092###164.3
-78.119,163.707,-78.119###163.707
-78.047,164.067,-78.047###164.067
-78.058,163.847,-78.058###163.847
-78.073,163.792,-78.073###163.792
-78.074,163.892,-78.074###163.892
-78.075,164.102,-78.075###164.102
-78.078,164.129,-78.078###164.129
-78.079,164.115,-78.079###164.115
-78.078,164.121,-78.078###164.121
-78.078,164.093,-78.078###164.093
-78.083,164.12,-78.083###164.12
-78.087,164.084,-78.087###164.084
-78.135,164.131,-78.135###164.131
-78.047,163.704,-78.047###163.704
64.49,-157.75,64.49###-157.75
50.85,-120.42,50.85###-120.42
50.93,-120.3,50.93###-120.3
50.9,-120.35,50.9###-120.35
54.37,-122.62,54.37###-122.62
54.62,-126.3,54.62###-126.3
52.32,-121.92,52.32###-121.92
45.06,-123.94,45.06###-123.94
45.07,-123.94,45.07###-123.94
44.39,-122.14,44.39###-122.14
