y,x,lat_lon1
38.268,140.872,38.268###140.872
34.97,135.95,34.97###135.95
24.34,123.91,24.34###123.91
35.0472,135.767,35.0472###135.767
36.21,140.1,36.21###140.1
40.1139,-88.2267,40.1139###-88.2267
29.53,121.52,29.53###121.52
37.3354,126.564,37.3354###126.564
-38.2737,141.053,-38.2737###141.053
37.4231,138.778,37.4231###138.778
18.38,108.48,18.38###108.48
36.0423,139.502,36.0423###139.502
35.9483,139.545,35.9483###139.545
36.0397,139.498,36.0397###139.498
35.9936,139.501,35.9936###139.501
35.9747,139.509,35.9747###139.509
36.0403,139.496,36.0403###139.496
35.63,139.63,35.63###139.63
18.38,108.46,18.38###108.46
36.49,139.99,36.49###139.99
36.56,140.05,36.56###140.05
35.9741,139.992,35.9741###139.992
35.35,136.28,35.35###136.28
-2.19,10.34,-2.19###10.34
-2.19,10.57,-2.19###10.57
34.823,92.933,34.823###92.933
18.38,108.47,18.38###108.47
-18.05,47.03,-18.05###47.03
45.5078,116.965,45.5078###116.965
38.7302,117.496,38.7302###117.496
42.5628,115.4,42.5628###115.4
46.6025,125.016,46.6025###125.016
5.3653,85.4544,5.3653###85.4544
7.5349,94.5374,7.5349###94.5374
37.4668,118.493,37.4668###118.493
-7.5786,110.448,-7.5786###110.448
35.11,133.95,35.11###133.95
-69.22,39.62,-69.22###39.62
34.6429,137.1,34.6429###137.1
33,119,33###119
35.5678,139.268,35.5678###139.268
35.5572,139.267,35.5572###139.267
41.1594,121.795,41.1594###121.795
40.8729,121.603,40.8729###121.603
40.8697,121.606,40.8697###121.606
35.69,139.69,35.69###139.69
36.4073,139.062,36.4073###139.062
34.9,102.92,34.9###102.92
36.07,140.21,36.07###140.21
35.79,139.75,35.79###139.75
34.14,132.21,34.14###132.21
35.85,140.06,35.85###140.06
37.919,139.036,37.919###139.036
-33.9859,24.2066,-33.9859###24.2066
-33.8689,23.985,-33.8689###23.985
-33.8591,23.9719,-33.8591###23.9719
-33.869,23.986,-33.869###23.986
-34.03,24.0069,-34.03###24.0069
-33.9846,24.2183,-33.9846###24.2183
-33.9833,24.2043,-33.9833###24.2043
-34.0309,24.3365,-34.0309###24.3365
-34.0475,24.3466,-34.0475###24.3466
-34.0467,24.3469,-34.0467###24.3469
-33.9829,24.2165,-33.9829###24.2165
34.7105,137.397,34.7105###137.397
31.4713,130.334,31.4713###130.334
-33.9433,18.8242,-33.9433###18.8242
-32.0479,18.9917,-32.0479###18.9917
-32.0471,18.9887,-32.0471###18.9887
-32.0573,18.9572,-32.0573###18.9572
-32.0663,18.98,-32.0663###18.98
-32.06,18.9952,-32.06###18.9952
-32.0632,19.0121,-32.0632###19.0121
-32.449,18.8649,-32.449###18.8649
-32.4519,18.854,-32.4519###18.854
-32.056,19.0062,-32.056###19.0062
-32.4559,18.858,-32.4559###18.858
-32.0413,18.998,-32.0413###18.998
-32,18.0166,-32###18.0166
-32.0474,18.993,-32.0474###18.993
-32.047,18.9867,-32.047###18.9867
-32.0662,18.9805,-32.0662###18.9805
32.2446,130.171,32.2446###130.171
35.6693,139.426,35.6693###139.426
35.6383,139.385,35.6383###139.385
30.7808,130.279,30.7808###130.279
30.7808,130.28,30.7808###130.28
35.3783,137.238,35.3783###137.238
28.53,105.27,28.53###105.27
35.48,139.68,35.48###139.68
35,135.46,35###135.46
41.4047,-99.6414,41.4047###-99.6414
35.678,139.436,35.678###139.436
31.9321,131.402,31.9321###131.402
31.9385,131.387,31.9385###131.387
31.9067,131.426,31.9067###131.426
31.9192,131.426,31.9192###131.426
31.6969,131.369,31.6969###131.369
35.655,139.508,35.655###139.508
35.698,139.518,35.698###139.518
35.5204,139.619,35.5204###139.619
35.6105,139.625,35.6105###139.625
35.5415,139.753,35.5415###139.753
35.6217,139.572,35.6217###139.572
39.23,112.2,39.23###112.2
34.8745,138.322,34.8745###138.322
34.9598,138.09,34.9598###138.09
34.8752,138.015,34.8752###138.015
34.8186,138.02,34.8186###138.02
34.8718,138.155,34.8718###138.155
34.9865,138.298,34.9865###138.298
34.2828,138.339,34.2828###138.339
34.8438,138.766,34.8438###138.766
41.82,-87.77,41.82###-87.77
35.37,138.57,35.37###138.57
35.24,138.59,35.24###138.59
35.22,138.6,35.22###138.6
40.633,140.367,40.633###140.367
6.27072,126.193,6.27072###126.193
36.3048,139.437,36.3048###139.437
36.02,140.12,36.02###140.12
38.25,141.14,38.25###141.14
36.38,127.4,36.38###127.4
39.1531,-120.979,39.1531###-120.979
39.1945,-120.967,39.1945###-120.967
39.1624,-121.003,39.1624###-121.003
39.2722,-121.007,39.2722###-121.007
39.1606,-120.987,39.1606###-120.987
39.2221,-121.025,39.2221###-121.025
39.1966,-121.088,39.1966###-121.088
32.2,119.29,32.2###119.29
43.0713,141.341,43.0713###141.341
39.9913,116.37,39.9913###116.37
35,138,35###138
35,140,35###140
28.3,109.71,28.3###109.71
37.388,-122.194,37.388###-122.194
43.0712,141.344,43.0712###141.344
34.4,137.15,34.4###137.15
4.2304,105.17,4.2304###105.17
38.07,140.42,38.07###140.42
34.47,137.29,34.47###137.29
25.76,110.12,25.76###110.12
38.48,140.4,38.48###140.4
38.88,-77.02,38.88###-77.02
35.72,139.77,35.72###139.77
43.0712,141.345,43.0712###141.345
35.4,139.4,35.4###139.4
40.1097,-88.2042,40.1097###-88.2042
49.25,-123.1,49.25###-123.1
22.3,114.2,22.3###114.2
35,136,35###136
52.32,5.55,52.32###5.55
32.82,-97.04,32.82###-97.04
40.52,-88.98,40.52###-88.98
33.83,-118.26,33.83###-118.26
39.88,-88.93,39.88###-88.93
42.35,-70.96,42.35###-70.96
40.15,-87.61,40.15###-87.61
40.42,-86.96,40.42###-86.96
41.51,-90.49,41.51###-90.49
35.25,-97.32,35.25###-97.32
37.76,-122.21,37.76###-122.21
44.78,-89.61,44.78###-89.61
40.07,-75.18,40.07###-75.18
40.32,-88.12,40.32###-88.12
37.76,-122.43,37.76###-122.43
36.15,-95.86,36.15###-95.86
40.11,-88.2,40.11###-88.2
43.02,-88.25,43.02###-88.25
40.47,-86.91,40.47###-86.91
32.7723,129.869,32.7723###129.869
31.33,130.305,31.33###130.305
34,134,34###134
34.0725,134.556,34.0725###134.556
35.3756,139.424,35.3756###139.424
34.497,135.312,34.497###135.312
35.1198,138.937,35.1198###138.937
35.1575,138.928,35.1575###138.928
35.6465,139.817,35.6465###139.817
35.6448,139.567,35.6448###139.567
35.4662,139.623,35.4662###139.623
35.4836,139.575,35.4836###139.575
35.6662,139.73,35.6662###139.73
35.6592,139.773,35.6592###139.773
35.5671,139.468,35.5671###139.468
35.7376,139.785,35.7376###139.785
35.7154,139.774,35.7154###139.774
38.0561,140.747,38.0561###140.747
36.0631,140.065,36.0631###140.065
36.0496,140.121,36.0496###140.121
36.0517,140.122,36.0517###140.122
35.7765,138.424,35.7765###138.424
42.91,143.179,42.91###143.179
37.4603,140.97,37.4603###140.97
37.5436,140.857,37.5436###140.857
35.4919,135.734,35.4919###135.734
43.1962,141.776,43.1962###141.776
43.9912,144.241,43.9912###144.241
43.9677,144.233,43.9677###144.233
35.1183,138.937,35.1183###138.937
