mean_otu_diversity,lon,lat,ai,et0,cities_1,cities_2,cities_3,cities_4,cities_5,cities_6,cities_7,cities_8,cities_9,cities_10,cities_11,cities_12,ports_1,ports_2,ports_3,ports_4,ports_5,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,bio36,bio37,bio38,bio39,bio40,biomass,HDI,GDP_per_capita_PPP,popcou,popdens,DTI,APR_Corn_Chlorpyrifos_2020_H,APR_Corn_Chlorpyrifos_2020_L,APR_Corn_Glufosinate_2020_H,APR_Corn_Glufosinate_2020_L,APR_Soybean_Glufosinate_2020_H,APR_Soybean_Glufosinate_2020_L,APR_Soybean_Glyphosate_2020_H,APR_Soybean_Glyphosate_2020_L,bdod,cec,cfvo,clay,nitrogen,ocd,ocs,phh2o,sand,silt,soc,elevation,PFT0,PFT1,PFT2,PFT3,PFT4,PFT5,PFT6,PFT7,PFT8,PFT9,PFT10,PFT11,PFT12,PFT13,PFT14,PFT15,PFT16,PFT17,PFT18,PFT19,PFT20,PFT21,PFT22,PFT23,PFT24,PFT25,PFT26,PFT27,PFT28,PFT29,PFT30,PFT31,PFT32
26,-117.241,33.194,1812,1803,24,15,0,22,42,36,10,26,32,0,0,0,75,35,394,51,35,17.4624996,12.4083338,55.3943481,365.3026428,28.7999992,6.4000001,22.3999996,13.6499996,21.5,22.2833328,13.3166666,327,64,1,87.9872742,182,6,13,168,173.0809479,244.6000061,97.9676971,0.2945135,126.0273514,234.8754578,220.5512238,111.757431,0.3477761,0.643211,0.119448,0.5581226,0.6174728,0.1341071,0.1336693,0.5795799,1.04679,-0.757193,-0.556194,-1.360738,0.705194,0,0.8891608,40943.78906,1717.314697,2384.768066,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,5,0,0,0,0,0,94.8199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0
16.5,-75.45015,41.06278,12553,1001,60,68,98,32,31,28,8,15,27,8,28,8,94,88,87,85,85,7.3125,11.2749996,31.4066849,918.4921265,25.5,-10.3999996,35.9000015,15.8666668,-3.6166666,18.2166672,-4.1999998,1257,127,82,12.1977148,356,265,337,267,130.327179,204.0740051,53.0139999,0.4049558,194.8197632,78.7066574,191.7768402,69.3948822,1.041537,1.1347409,0.873885,0.0746747,1.1159112,0.9199897,0.9199897,1.1018602,-0.28844,0.132889,1.952432,1.171285,0.140462,3400,0.8817357,37215.18359,38.2664375,58.975338,1,0.000165,0.0000569,0.0104087,0.0017313,0.0101791,0.0101791,3.0140767,3.0140767,99,483,56,140,13820,659,65,43,477,383,2677,577,0,36.8199997,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.22,0,4.5,0
5.636363636,-145.64,64.35,4376,648,3487,2251,2101,2444,628,2120,373,597,358,373,628,358,2310,1713,633,560,560,-2.9958334,12.6416664,26.3917885,1363.113892,22.2000008,-25.7000008,47.9000015,13.6833334,-10.083334,13.6833334,-19.1000004,286,62,4,85.8669434,172,19,172,29,78.925621,171.0570068,2.54,0.7563881,148.3006134,71.4136353,148.3006134,9.7671566,0.4430857,0.499034,0.342563,0.1040569,0.4875804,0.3721928,0.4480667,0.466942,-1.014251,-0.377171,-0.248992,0.219016,-0.600297,900,0.8863764,43268.66016,0.0792361,0.2127399,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,28,502,19,92,11493,653,85,51,301,607,2403,356,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.857142857,-145.69,64.33,4379,646,3415,2180,2030,2372,557,2048,301,525,286,301,557,286,2238,1641,562,488,488,-2.9375,12.6083336,26.2127514,1371.462647,22.3999996,-25.7000008,48.0999985,13.8166666,-9.9833336,13.8166666,-19.1499996,283,62,4,87.2868958,172,18,172,29,79.8147049,172.5480042,2.53333,0.7552972,150.4867706,62.4999924,150.4867706,9.9549189,0.4539663,0.527646,0.340607,0.1220269,0.5137242,0.3709273,0.4555502,0.4835023,-0.993146,-0.32159,-0.251159,0.249894,-0.576345,900,0.8863764,43268.66016,0.0793081,0.2127399,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,34,502,15,88,10807,634,76,56,277,635,2577,346,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.416666667,-145.8,64.33,4455,644,3392,2157,2007,2349,533,2025,276,502,262,276,533,262,2215,1618,538,465,465,-2.7749999,12.2333336,26.4218864,1330.185425,21.7000008,-24.6000004,46.3000031,13.5666666,-9.6499996,13.5666666,-18.2833328,287,62,5,84.2802124,171,21,171,30,79.8147049,172.5480042,2.53333,0.7552972,150.4867706,62.4999924,150.4867706,9.9549189,0.4539663,0.527646,0.340607,0.1220269,0.5137242,0.3709273,0.4555502,0.4835023,-0.993146,-0.32159,-0.251159,0.249894,-0.576345,900,0.8863764,43268.66016,0.0793081,0.2127399,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,36,434,17,87,10166,585,70,55,278,635,2365,361,0,0,95,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-123.9,45.05,29652,924,900,75,704,56,364,190,49,46,14,49,56,14,90,96,109,29,29,9.9083338,9.1333332,48.3245163,368.0343018,21,2.0999999,18.8999996,6.0666666,14.2166662,14.7333336,5.7666664,2592,426,39,65.4852676,1212,174,184,1134,122.2968445,227.7189941,35.8732986,0.5337597,42.531601,203.1283875,193.4908447,45.8988228,1.2695534,1.875885,0.50011,0.3503188,1.8097576,0.6543542,0.6543542,1.7746053,-0.016046,2.829128,0.299572,-1.819744,3.93242,3300,0.8678135,34269.83594,2.0277946,3.3355701,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,95,754,35,398,15842,899,97,42,165,437,2591,270,0,67.9599991,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
5.666666667,-123.89,45.04,29690,932,896,71,700,52,360,186,45,42,15,45,52,15,83,90,112,29,29,9.6541662,9.3416662,48.6545143,369.8983765,21,1.8,19.2000008,5.8833332,14,14.5666666,5.583333,2769,460,38,66.7323303,1305,176,191,1223,122.2968445,227.7189941,35.8732986,0.5337597,42.531601,203.1283875,193.4908447,45.8988228,1.2695534,1.875885,0.50011,0.3503188,1.8097576,0.6543542,0.6543542,1.7746053,-0.016046,2.829128,0.299572,-1.819744,3.93242,3300,0.8678135,34269.83594,12.2930889,20.2153301,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,92,679,98,334,14778,834,96,46,246,420,2315,366,0,67.9599991,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
4,-123.89,45.05,29838,929,899,75,703,55,364,190,49,45,16,49,55,16,91,97,111,31,31,9.875,9.25,48.1770821,374.2234497,21.1000004,1.9,19.2000008,5.9666667,14.2666674,14.7666664,5.6333332,2601,429,38,65.9151535,1219,173,182,1141,122.2968445,227.7189941,35.8732986,0.5337597,42.531601,203.1283875,193.4908447,45.8988228,1.2695534,1.875885,0.50011,0.3503188,1.8097576,0.6543542,0.6543542,1.7746053,-0.016046,2.829128,0.299572,-1.819744,3.93242,3300,0.8678135,34269.83594,0,0,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,94,705,67,364,15880,820,98,43,198,438,2562,238,0,67.9599991,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
8.75,-122.19,44.23,13431,1254,851,153,655,62,382,217,76,85,76,62,62,62,165,173,175,130,130,9.0500002,12.666667,44.1347275,594.6809692,27.1000004,-1.6,28.7000008,2.6500001,16.5499992,16.6333332,2.3,1685,274,22,63.9128952,788,118,121,716,128.2911835,241.1000061,37.6666985,0.53709,44.1592293,215.1508484,211.1533051,47.5440521,1.0737531,1.667882,0.316192,0.4303196,1.6064322,0.4121628,0.4204166,1.5736579,-0.151194,2.190975,-0.135228,-1.726311,4.035018,3300,0.8678135,34269.83594,0.0911756,0.1478593,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,90,547,125,146,9071,463,53,55,467,387,1932,656,0,99.9599991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
5,-122.16,44.23,13260,1245,848,150,652,64,379,219,74,87,77,64,64,64,163,170,177,132,132,8.7624998,12.6916666,44.3764572,586.7868042,26.7999992,-1.8,28.5999985,2.5333333,16.1833324,16.2666664,2.1500001,1652,269,22,64.0520554,774,116,119,705,128.0881805,240.1100006,37.8800011,0.5349779,44.3590698,214.4526978,210.4876099,47.791729,1.0168334,1.597093,0.296282,0.4436971,1.5383055,0.3789525,0.3846499,1.5101976,-0.132097,1.9439,-0.209719,-1.744897,3.8159609,3300,0.8678135,34269.83594,0.0839392,0.136124,2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,93,554,97,149,9654,434,51,55,471,380,2312,778,0,99.9599991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
